user_id,step,page,entry_point,drop_off_point,visitor_type
U009,5,Cart,Home,Cart,Returning
U010,1,Login,Login,Home,New
U010,2,Search,Login,Home,New
U010,3,Search,Login,Home,New
U010,4,Home,Login,Home,New
U010,5,Search,Login,Home,New
U010,6,Search,Login,Home,New
U010,7,Home,Login,Home,New
U011,1,Checkout,Checkout,Cart,New
U011,2,Product,Checkout,Cart,New
U011,3,Login,Checkout,Cart,New
U011,4,Product,Checkout,Cart,New
U011,5,Home,Checkout,Cart,New
U011,6,Cart,Checkout,Cart,New
U012,1,Home,Home,Login,New
U012,2,Cart,Home,Login,New
U012,3,Product,Home,Login,New
U012,4,Home,Home,Login,New
U012,5,Login,Home,Login,New
U013,1,Help,Help,Search,New
U013,2,Checkout,Help,Search,New
U013,3,Search,Help,Search,New
U013,4,Cart,Help,Search,New
U013,5,Help,Help,Search,New
U013,6,Search,Help,Search,New
U013,7,Search,Help,Search,New
U014,1,Search,Search,Help,New
U014,2,Checkout,Search,Help,New
U014,3,Login,Search,Help,New
U014,4,Help,Search,Help,New
U015,1,Home,Home,Help,New
U015,2,Checkout,Home,Help,New
U015,3,Product,Home,Help,New
U015,4,Login,Home,Help,New
U015,5,Login,Home,Help,New
U015,6,Help,Home,Help,New
U016,1,Search,Search,Login,Returning
U016,2,Home,Search,Login,Returning
U016,3,Login,Search,Login,Returning
U016,4,Login,Search,Login,Returning
U017,1,Product,Product,Login,New
U017,2,Cart,Product,Login,New
U017,3,Checkout,Product,Login,New
U017,4,Search,Product,Login,New
U017,5,Login,Product,Login,New
U017,6,Login,Product,Login,New
U018,1,Cart,Cart,Login,New
U018,2,Checkout,Cart,Login,New
U018,3,Cart,Cart,Login,New
U018,4,Help,Cart,Login,New
U018,5,Checkout,Cart,Login,New
U018,6,Login,Cart,Login,New
U018,7,Login,Cart,Login,New
U019,1,Login,Login,Checkout,Returning
U019,2,Search,Login,Checkout,Returning
U019,3,Checkout,Login,Checkout,Returning
U020,1,Checkout,Checkout,Cart,Returning
U020,2,Login,Checkout,Cart,Returning
U020,3,Search,Checkout,Cart,Returning
U020,4,Search,Checkout,Cart,Returning
U020,5,Help,Checkout,Cart,Returning
U020,6,Cart,Checkout,Cart,Returning
U021,1,Product,Product,Home,New
U021,2,Checkout,Product,Home,New
U021,3,Help,Product,Home,New
U021,4,Home,Product,Home,New
U022,1,Help,Help,Help,Returning
U022,2,Cart,Help,Help,Returning
U022,3,Cart,Help,Help,Returning
U022,4,Cart,Help,Help,Returning
U022,5,Cart,Help,Help,Returning
U022,6,Cart,Help,Help,Returning
U022,7,Help,Help,Help,Returning
U023,1,Search,Search,Login,Returning
U023,2,Product,Search,Login,Returning
U023,3,Login,Search,Login,Returning
U023,4,Cart,Search,Login,Returning
U023,5,Home,Search,Login,Returning
U023,6,Login,Search,Login,Returning
U024,1,Home,Home,Home,New
U024,2,Home,Home,Home,New
U024,3,Home,Home,Home,New
U025,1,Help,Help,Cart,New
U025,2,Home,Help,Cart,New
U025,3,Cart,Help,Cart,New
U026,1,Home,Home,Search,New
U026,2,Search,Home,Search,New
U026,3,Login,Home,Search,New
U026,4,Help,Home,Search,New
U026,5,Search,Home,Search,New
U027,1,Help,Help,Product,Returning
U027,2,Checkout,Help,Product,Returning
U027,3,Home,Help,Product,Returning
U027,4,Search,Help,Product,Returning
U027,5,Product,Help,Product,Returning
U028,1,Login,Login,Home,Returning
U028,2,Search,Login,Home,Returning
U028,3,Help,Login,Home,Returning
U028,4,Home,Login,Home,Returning
U029,1,Home,Home,Cart,Returning
U029,2,Help,Home,Cart,Returning
U029,3,Home,Home,Cart,Returning
U029,4,Product,Home,Cart,Returning
U029,5,Cart,Home,Cart,Returning
U029,6,Cart,Home,Cart,Returning
U030,1,Login,Login,Home,Returning
U030,2,Product,Login,Home,Returning
U030,3,Search,Login,Home,Returning
U030,4,Home,Login,Home,Returning
U030,5,Checkout,Login,Home,Returning
U030,6,Home,Login,Home,Returning
U031,1,Home,Home,Product,Returning
U031,2,Search,Home,Product,Returning
U031,3,Home,Home,Product,Returning
U031,4,Product,Home,Product,Returning
U031,5,Product,Home,Product,Returning
U032,1,Help,Help,Search,Returning
U032,2,Login,Help,Search,Returning
U032,3,Checkout,Help,Search,Returning
U032,4,Home,Help,Search,Returning
U032,5,Home,Help,Search,Returning
U032,6,Search,Help,Search,Returning
U033,1,Product,Product,Login,Returning
U033,2,Checkout,Product,Login,Returning
U033,3,Cart,Product,Login,Returning
U033,4,Product,Product,Login,Returning
U033,5,Help,Product,Login,Returning
U033,6,Login,Product,Login,Returning
U034,1,Login,Login,Search,New
U034,2,Search,Login,Search,New
U034,3,Search,Login,Search,New
U035,1,Login,Login,Product,Returning
U035,2,Help,Login,Product,Returning
U035,3,Checkout,Login,Product,Returning
U035,4,Cart,Login,Product,Returning
U035,5,Product,Login,Product,Returning
U036,1,Help,Help,Search,Returning
U036,2,Search,Help,Search,Returning
U036,3,Login,Help,Search,Returning
U036,4,Home,Help,Search,Returning
U036,5,Home,Help,Search,Returning
U036,6,Cart,Help,Search,Returning
U036,7,Search,Help,Search,Returning
U037,1,Checkout,Checkout,Search,Returning
U037,2,Search,Checkout,Search,Returning
U037,3,Cart,Checkout,Search,Returning
U037,4,Cart,Checkout,Search,Returning
U037,5,Search,Checkout,Search,Returning
U038,1,Search,Search,Login,Returning
U038,2,Product,Search,Login,Returning
U038,3,Search,Search,Login,Returning
U038,4,Login,Search,Login,Returning
U038,5,Search,Search,Login,Returning
U038,6,Cart,Search,Login,Returning
U038,7,Login,Search,Login,Returning
U039,1,Home,Home,Login,Returning
U039,2,Home,Home,Login,Returning
U039,3,Login,Home,Login,Returning
U040,1,Home,Home,Home,New
U040,2,Search,Home,Home,New
U040,3,Cart,Home,Home,New
U040,4,Home,Home,Home,New
U041,1,Product,Product,Search,New
U041,2,Login,Product,Search,New
U041,3,Login,Product,Search,New
U041,4,Help,Product,Search,New
U041,5,Product,Product,Search,New
U041,6,Search,Product,Search,New
U042,1,Cart,Cart,Home,Returning
U042,2,Product,Cart,Home,Returning
U042,3,Home,Cart,Home,Returning
U043,1,Cart,Cart,Cart,New
U043,2,Home,Cart,Cart,New
U043,3,Product,Cart,Cart,New
U043,4,Home,Cart,Cart,New
U043,5,Help,Cart,Cart,New
U043,6,Cart,Cart,Cart,New
U044,1,Checkout,Checkout,Home,New
U044,2,Search,Checkout,Home,New
U044,3,Login,Checkout,Home,New
U044,4,Home,Checkout,Home,New
U045,1,Search,Search,Cart,Returning
U045,2,Search,Search,Cart,Returning
U045,3,Search,Search,Cart,Returning
U045,4,Cart,Search,Cart,Returning
U046,1,Help,Help,Cart,New
U046,2,Home,Help,Cart,New
U046,3,Cart,Help,Cart,New
U047,1,Home,Home,Cart,Returning
U047,2,Cart,Home,Cart,Returning
U047,3,Help,Home,Cart,Returning
U047,4,Cart,Home,Cart,Returning
U048,1,Search,Search,Product,Returning
U048,2,Help,Search,Product,Returning
U048,3,Home,Search,Product,Returning
U048,4,Search,Search,Product,Returning
U048,5,Home,Search,Product,Returning
U048,6,Checkout,Search,Product,Returning
U048,7,Product,Search,Product,Returning
U049,1,Help,Help,Help,New
U049,2,Product,Help,Help,New
U049,3,Product,Help,Help,New
U049,4,Help,Help,Help,New
U050,1,Checkout,Checkout,Home,Returning
U050,2,Home,Checkout,Home,Returning
U050,3,Cart,Checkout,Home,Returning
U050,4,Home,Checkout,Home,Returning
U050,5,Cart,Checkout,Home,Returning
U050,6,Home,Checkout,Home,Returning
